"nr";"memo";"materiaal";"bijzonderheden";"omschrijving";"korte_omschrijving";"aub";"hoofd_aanvraag";"soort";"groep";"selectie";"versie_opname";"versie_mutatie";"versie_vervallen";"toelichting";"vraag_type";"decimalen";"eenheid";"abs_min";"abs_max";"ref_min";"ref_max";"antwoordenlijst";"formule";"materiaal_info";"bijzonderheden_info";"aub_info";"groep_info";"formule_uitleg"
3924;"DMR7";"FA";"RE";"diabetische retinopathie Re-oog (2017)";"retin17Re";"B";"";"D";"IN";"3";29;30;NA;"Diagnostiek naar het vóórkomen van Diabetische Retinopathie met indeling volgens de richtlijn Diabetische Retinopathie 2017 van de Nederlandse Internisten Vereniging in samenwerking met het Nederlands Oogheelkundig Gezelschap, Optometristen Vereniging Nederland en het Nederlands Huisartsen Genootschap.";"EK";NA;"";NA;NA;NA;1;"185 - Diabetische retinopathie 2017";NA;"oog, algemeen";"rechts";"Beide";"inspectie";NA
1602;"ASEL";"RZ";"";"diagnose astma eerder gesteld";"";"B";"";"P";"ZP";"4";7;8;NA;NA;"EK";NA;"";NA;NA;NA;NA;"48 - nee/ja/onduidelijk";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1598;"ASDD";"RZ";"";"diagnose astma gesteld door";"";"B";"";"P";"ZP";"4";7;10;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1863;"COEL";"RZ";"";"diagnose COPD eerder gesteld";"";"B";"";"P";"ZP";"4";7;8;NA;NA;"EK";NA;"";NA;NA;NA;NA;"48 - nee/ja/onduidelijk";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1911;"CCDD";"RZ";"";"diagnose COPD gesteld door";"";"B";"";"P";"ZP";"4";7;10;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
3881;"DEDD";"PZ";"";"diagnose dementie gesteld door";"DiagDemnt";"B";"";"P";"ZP";"4";28;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"psychische problemen, zorgproces";NA;"Beide";"zorgproces";NA
1647;"DMEL";"TZ";"";"diagnose DM2 eerder gesteld";"";"B";"";"P";"ZP";"4";7;8;NA;NA;"EK";NA;"";NA;NA;NA;NA;"48 - nee/ja/onduidelijk";NA;"endocriene klieren/metabolisme, zorgproc";NA;"Beide";"zorgproces";NA
1645;"DMDO";"TZ";"";"diagnose DM2 gesteld door";"";"B";"";"P";"ZP";"4";7;10;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"endocriene klieren/metabolisme, zorgproc";NA;"Beide";"zorgproces";NA
3987;"DAAA";"KB";"";"diameter aneurysma aorta abdomin. (AAA)";"DiamAAA";"B";"";"D";"BO";"3";32;NA;NA;"Deze bepaling betreft de diameter van een AAA (Aneurysma Aorta Abdominalis), in cm, bepaald door middel van echo.";"NM";1;"cm";1;10;NA;NA;"";NA;"aorta";NA;"Beide";"beeldvormend onderzoek";NA
1740;"RRDI";"KA";"";"diastolische bloeddruk";"RRdiastol";"B";"";"D";"BM";"2";7;NA;NA;NA;"NM";0;"mmHg";0;400;NA;89;"";NA;"hartvaatstelsel, algemeen";NA;"Beide";"biometrie";NA
1741;"RRDI";"KA";"PL";"diastolische bloeddruk (liggend)";"RRdiaslig";"B";"";"D";"BM";"2";7;NA;NA;NA;"NM";0;"mmHg";0;400;NA;89;"";NA;"hartvaatstelsel, algemeen";"patiënt: liggend";"Beide";"biometrie";NA
2188;"RRDI";"KA";"PS";"diastolische bloeddruk (staand)";"RRdiasstn";"B";"";"D";"BM";"2";9;NA;NA;NA;"NM";0;"mmHg";0;400;NA;89;"";NA;"hartvaatstelsel, algemeen";"patiënt: staand";"Beide";"biometrie";NA
2056;"RRDI";"KA";"MH";"diastolische bloeddruk (thuismeting)";"RRdithuis";"B";"";"D";"BM";"2";9;NA;NA;NA;"NM";0;"mmHg";0;400;NA;89;"";NA;"hartvaatstelsel, algemeen";"meting: thuismeting";"Beide";"biometrie";NA
239;"DIAZ";"B";"";"diazepam (Valium)";"diazepam";"B";"";"L";"FT";"4";3;5;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
3038;"DIDM";"B";"";"diazepam + desmethyldiazepam";"diazp+dmd";"B";"";"L";"FT";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
3035;"DIBG";"B";"";"dibucainegetal van cholinesterase";"dibucgeta";"B";"";"L";"KC";"3";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
3306;"DIFP";"DF";"";"Dientamoeba fragilis DNA feces (PCR)";"dienfPCRf";"B";"";"L";"IM";"3";18;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"feces";NA;"Beide";"immunologie/serologie";NA
3969;"WDIE";"SA";"";"diepte van de wond";"wondDiep";"B";"";"D";"IN";"2";31;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"201 - oppervlakkig-diep";NA;"huid, algemeen";NA;"Beide";"inspectie";NA
2767;"TDSD";"SA";"";"differentiële structuren, dermatosc(TDS)";"TDSstruct";"B";"";"D";"IN";"2";13;NA;NA;"Het aantal bijzondere structuren dat in de laesie wordt waargenomen (0-5).";"NM";0;"";0;5;NA;NA;"";NA;"huid, algemeen";NA;"Beide";"inspectie";NA
242;"DIGI";"B";"SI";"digitoxine";"digitoxin";"B";"";"L";"FT";"2";1;3;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"spiegel na inname/injectie";"Beide";"farmacologie/toxicologie";NA
243;"DIGO";"B";"SI";"digoxine (Lanoxin) spiegel";"digoxine";"B";"";"L";"FT";"2";1;18;NA;NA;"NM";NA;"";NA;NA;NA;NA;"";NA;"bloed";"spiegel na inname/injectie";"Beide";"farmacologie/toxicologie";NA
240;"DICO";"B";"";"directe Coombs antiglobulinetest";"Coombsdir";"B";"";"L";"HE";"3";1;4;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"hematologie";NA
254;"DSPR";"B";"SI";"disopyramide (Rythmodan, Ritmoforine)";"disopyram";"B";"";"L";"FT";"3";1;5;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"spiegel na inname/injectie";"Beide";"farmacologie/toxicologie";NA
1654;"DMSI";"TZ";"";"DM2 bestaat (vermoedelijk) sinds";"";"B";"";"P";"ZP";"4";7;11;NA;NA;"DT";NA;"";NA;NA;NA;NA;"";NA;"endocriene klieren/metabolisme, zorgproc";NA;"Beide";"zorgproces";NA
1648;"DMFM";"TQ";"";"DM2 bij naaste familie";"";"B";"";"P";"FA";"4";7;8;NA;"Het gaat om diabetes type 2 bij ouders, broers of zussen.";"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"endocriene klieren/metab., anamnese/plan";NA;"Beide";"familie anamnese";NA
4064;"THAD";"B";"";"DNA-analyse alfa-thalassemie (gap-PCR)";"gap-PCR";"B";"";"L";"DD";"3";38;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"DNA diagnostiek";NA
2896;"ADNB";"B";"";"DNase-B antistoffen";"DNaseBas.";"B";"";"L";"IM";"4";15;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3122;"ADNB";"B";"KW";"DNase-B antistoffen kwantitatief";"DNaBas.kw";"B";"";"L";"IM";"4";16;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
692;"O047";"B";"MD";"Döhle lichaampjes";"döhlelich";"U";"DIFF";"L";"HE";"U";1;3;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"meting: differentiatie";"Uitslag";"hematologie";NA
1641;"DBLO";"LV";"LI";"doorbloeding linkervoet";"doorbl lv";"B";"";"D";"IN";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"53 - normaal/afwijkend/onduidelijk";NA;"voet";"links";"Beide";"inspectie";NA
1642;"DBLO";"LV";"RE";"doorbloeding rechtervoet";"doorbl rv";"B";"";"D";"IN";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"53 - normaal/afwijkend/onduidelijk";NA;"voet";"rechts";"Beide";"inspectie";NA
1693;"HRIN";"KQ";"";"doorgemaakt hartinfarct (comorbiditeit)";"";"B";"";"P";"CO";"4";7;9;NA;"Dit gegeven betreft de (eventueel elders) vastgestelde diagnose hartinfarct.";"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"comorbiditeit";NA
2132;"HSIN";"KQ";"";"doorgemaakt herseninfarct(comorbiditeit)";"";"B";"";"P";"CO";"4";9;NA;NA;"Dit gegeven betreft de (eventueel elders) vastgestelde diagnose herseninfarct, exclusief TIA en bloedig CVA.";"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"comorbiditeit";NA
2203;"ULCU";"LV";"";"doorgemaakt voetulcus";"";"B";"";"P";"VG";"4";10;NA;NA;NA;"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"voet";NA;"Beide";"voorgeschiedenis";NA
251;"DOPA";"B";"";"dopamine (Dynatra)";"dopamine";"B";"";"L";"FT";"4";3;5;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
2975;"DOKR";"UE";"MI";"dopamine /creatinine urine 24u";"dop/c u24";"B";"";"L";"KC";"4";15;30;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";"meting: index, quotiënt, ratio";"Beide";"klinische chemie";NA
2973;"DOPA";"U";"";"dopamine urine";"dopaminur";"B";"";"L";"KC";"4";15;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
2974;"DOPA";"UE";"";"dopamine urine 24u";"dopam u24";"B";"";"L";"KC";"4";15;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";NA;"Beide";"klinische chemie";NA
253;"DSLP";"B";"";"dosulepine (Prothiaden)";"dosulepin";"B";"";"L";"FT";"4";5;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
256;"DXPN";"B";"";"doxepine (Sinequan)";"doxepine";"B";"";"L";"FT";"4";5;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
236;"DDXP";"B";"";"doxepine, desmethyl-";"desmdexep";"B";"";"L";"FT";"4";5;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
3022;"DRUG";"AQ";"";"drugsgebruik";"drugsgebr";"B";"";"D";"AA";"2";16;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"142 - nooit/voorh/ja/onduid";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1657;"DRUK";"LV";"LI";"drukplekken linkervoet";"drukpl lv";"B";"";"D";"IN";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"voet";"links";"Beide";"inspectie";NA
1658;"DRUK";"LV";"RE";"drukplekken rechtervoet";"drukpl rv";"B";"";"D";"IN";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"voet";"rechts";"Beide";"inspectie";NA
235;"DDNI";"B";"";"dubbelstreng-DNA antist. (anti ds-DNA)";"dsDNAas";"B";"ENAI";"L";"IM";"3";4;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
255;"DUIF";"B";"";"duif precipiterende antistoffen";"duif prec";"B";"";"L";"IM";"3";4;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3228;"DULO";"B";"";"duloxetine (Cymbalta)";"duloxetin";"B";"";"L";"FT";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
2409;"SCOP";"DD";"";"duodenoscopie";"duodenosc";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"duodenum";NA;"Beide";"beeldvormend onderzoek";NA
2938;"DWSI";"B";"";"dwarsgestr.spierweefsel(skeletspier) as.";"dwarssp a";"B";"";"L";"IM";"4";15;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3304;"O101";"US";"MM";"dysmorfe erytrocyten in urinesediment";"dysmery";"U";"SEDI";"L";"KC";"U";18;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urinesediment";"meting: microscopie";"Uitslag";"klinische chemie";NA
3697;"GLCE";NA;"";"E(yes)-score Glasgow Coma-schaal (EMV)";"EGlasCo";"B";"";"D";"FO";"4";24;30;NA;"Ogen openen: 1 = niet, 2 = bij pijnprikkels, 3 = bij aanspreken, 4 = spontaan";"NM";0;"";1;4;4;NA;"";NA;"zenuwstelsel, algemeen";NA;"Beide";"functie onderzoek";NA
2202;"ECG";"KH";"";"ECG";"ECG";"B";"";"D";"FO";"2";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3655;"ECGC";"KH";"";"ECG gecorrigeerde QT-tijd (QTc)";"ECG QTc";"B";"";"D";"FO";"3";23;NA;NA;"De voor de hartfrequentie gecorrigeerde QT-tijd, de QTc-tijd";"NM";0;"msec";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3320;"ECGF";"KH";"";"ECG hartfrequentie/ventrikelfrequentie";"ECGhartfq";"B";"";"D";"FO";"3";18;24;NA;NA;"NM";0;"aantal/min";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3324;"ECGI";"KH";"";"ECG interpretatie apparaat";"ECGintapp";"B";"";"D";"FO";"3";18;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3321;"ECGP";"KH";"";"ECG PQ-tijd (PR interval)";"ECG PQtd";"B";"";"D";"FO";"3";18;NA;NA;NA;"NM";0;"msec";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3322;"ECGQ";"KH";"";"ECG QRS-tijd";"ECG QRStd";"B";"";"D";"FO";"3";18;NA;NA;NA;"NM";0;"msec";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3323;"ECGT";"KH";"";"ECG QT-interval";"ECG QTint";"B";"";"D";"FO";"3";18;NA;NA;NA;"NM";0;"msec";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"functie onderzoek";NA
3319;"ECGS";"KH";"";"ECG sinusritme";"ECGsinusr";"B";"";"D";"FO";"3";18;NA;NA;NA;"EK";NA;"";NA;NA;NA;1;"11 - ja/nee";NA;"hart";NA;"Beide";"functie onderzoek";NA
275;"ECCG";"B";"";"Echinococcen IgG";"echinoIgG";"B";"";"L";"IM";"4";5;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3442;"ECG1";"B";"";"Echinococcus IgG1";"echinIgG1";"B";"";"L";"IM";"4";20;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3443;"ECG4";"B";"";"Echinococcus IgG4";"echinIgG4";"B";"";"L";"IM";"4";20;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
701;"O056";"B";"MD";"echinocyten";"echinocyt";"U";"DIFF";"L";"HE";"U";3;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"meting: differentiatie";"Uitslag";"hematologie";NA
2649;"ECHO";"KB";"";"echografie aorta abdominalis (AAA)";"echoAAA";"B";"";"D";"BO";"3";11;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"aorta";NA;"Beide";"beeldvormend onderzoek";NA
2650;"ECHO";"UB";"";"echografie blaas";"echoblaas";"B";"";"D";"BO";"3";11;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"blaas";NA;"Beide";"beeldvormend onderzoek";NA
2411;"ECHO";"DH";"BO";"echografie bovenbuik";"echobobui";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"buik";"boven";"Beide";"beeldvormend onderzoek";NA
2350;"ECHO";"KC";"";"echografie carotiden";"echcaroti";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"carotiden";NA;"Beide";"beeldvormend onderzoek";NA
2357;"ECHO";"LL";"LI";"echografie elleboog links";"echellebl";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"elleboog";"links";"Beide";"beeldvormend onderzoek";NA
2358;"ECHO";"LL";"RE";"echografie elleboog rechts";"echellebr";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"elleboog";"rechts";"Beide";"beeldvormend onderzoek";NA
2351;"ECHO";"LE";"LI";"echografie enkel links";"echenkell";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"enkel";"links";"Beide";"beeldvormend onderzoek";NA
2352;"ECHO";"LE";"RE";"echografie enkel rechts";"echenkelr";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"enkel";"rechts";"Beide";"beeldvormend onderzoek";NA
2343;"ECHO";"DG";"";"echografie galblaas/galwegen";"echogalw";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"galblaas/galwegen";NA;"Beide";"beeldvormend onderzoek";NA
2416;"ECHO";"RH";"";"echografie halsklieren";"echhalskl";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hals";NA;"Beide";"beeldvormend onderzoek";NA
3001;"ECHO";"KH";"";"echografie hart";"echo hart";"B";"";"D";"BO";"3";16;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hart";NA;"Beide";"beeldvormend onderzoek";NA
2353;"ECHO";"LK";"LI";"echografie knie links";"echokniel";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"knie";"links";"Beide";"beeldvormend onderzoek";NA
2354;"ECHO";"LK";"RE";"echografie knie rechts";"echoknier";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"knie";"rechts";"Beide";"beeldvormend onderzoek";NA
2342;"ECHO";"DL";"";"echografie lever";"echolever";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"lever";NA;"Beide";"beeldvormend onderzoek";NA
2340;"ECHO";"XM";"LI";"echografie mamma links";"echmammal";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"borsten";"links";"Beide";"beeldvormend onderzoek";NA
2341;"ECHO";"XM";"RE";"echografie mamma rechts";"echmammar";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"borsten";"rechts";"Beide";"beeldvormend onderzoek";NA
4107;"ECHM";"DH";"";"echografie milt";"echoMilt";"B";"";"D";"BO";"2";41;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"buik";NA;"Beide";"beeldvormend onderzoek";NA
2344;"ECHO";"UN";"LI";"echografie nier links";"echonierl";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"nieren";"links";"Beide";"beeldvormend onderzoek";NA
2345;"ECHO";"UN";"RE";"echografie nier rechts";"echonierr";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"nieren";"rechts";"Beide";"beeldvormend onderzoek";NA
2412;"ECHO";"DH";"ON";"echografie onderbuik";"echoonbui";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"buik";"onder";"Beide";"beeldvormend onderzoek";NA
4108;"ECHP";"DH";"";"echografie pancreas";"echoPancr";"B";"";"D";"BO";"2";41;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"buik";NA;"Beide";"beeldvormend onderzoek";NA
2346;"ECHO";"YR";"";"echografie prostaat";"echoprost";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"prostaat";NA;"Beide";"beeldvormend onderzoek";NA
2415;"ECHO";"TA";"";"echografie schildklier";"ecschildk";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"endocriene klieren/metabolisme, algemeen";NA;"Beide";"beeldvormend onderzoek";NA
2355;"ECHO";"LG";"LI";"echografie schouder links";"echschoul";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"schouder";"links";"Beide";"beeldvormend onderzoek";NA
2356;"ECHO";"LG";"RE";"echografie schouder rechts";"echschour";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"schouder";"rechts";"Beide";"beeldvormend onderzoek";NA
2347;"ECHO";"YT";"";"echografie scrotum";"echoscrot";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"testikels/scrotum";NA;"Beide";"beeldvormend onderzoek";NA
2348;"ECHO";"XU";"";"echografie uterus en adnexen";"echuterus";"B";"";"D";"BO";"3";10;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"baarmoeder";NA;"Beide";"beeldvormend onderzoek";NA
2349;"ECHO";"XU";"ZW";"echografie uterus zwangerschap";"echozwang";"B";"";"D";"BO";"3";10;15;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"baarmoeder";"zwanger";"Beide";"beeldvormend onderzoek";NA
2452;"EDIN";"TQ";"";"educatie insulinegebruik";"";"B";"";"P";"TH";"4";11;12;NA;"Educatie insulinegebruik betreft de volgende aspecten: voeding, lichaamsbeweging, hypo- en hyperglykemie, gewichtsreductie, therapietrouw, leren meten van bloedglucosewaarde (zelfcontrole), maken van glucosedagcurven, spuitinstructie, zelf aanpassen van de insulinedosering en zo nodig het bespreken van belemmeringen om met insuline te starten.";"EK";NA;"";NA;NA;2;NA;"109 - niet gestart/gestart/voltooid";NA;"endocriene klieren/metab., anamnese/plan";NA;"Beide";"therapie";NA
2678;"AMEM";"RQ";"";"eerder astmamedicatie gehad";"";"B";"";"P";"AA";"4";11;12;NA;NA;"EK";NA;"";NA;NA;NA;1;"58 - nee/ja/onbekend";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2769;"ROES";"AQ";"";"eerste sigaret < 30 min na opstaan";"";"B";"";"P";"AA";"4";13;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"49 - ja/nee/onduidelijk";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
3234;"ZKTD";"AQ";"";"eerste ziektedag (viro/bact.diagnostiek)";"1ezktedag";"U";"";"L";"ZP";"U";16;NA;NA;"Bepaling die gebruikt wordt om bij bacteriologisch of virologisch onderzoek de datum van de eerste ziektedag te communiceren, omdat deze een rol speelt bij het beoordelen van de uitslagen van de aangevraagde test.";"";NA;"";NA;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Uitslag";"zorgproces";NA
2679;"AEEM";"RQ";"";"effect eerdere astmamedicatie";"";"B";"";"P";"AA";"4";11;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"113 - geen/matig/goed/onduidelijk";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3583;"KREC";"O";"FB";"eGFR volgens CKD-EPI formule";"eGFR CKDE";"B";"";"L";"KC";"3";22;28;NA;"Schatting van de GFR met de creatinineklaring volgens CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) formule op basis van serum creatinine, leeftijd, geslacht en ras.";"NM";0;"ml/min/1,73m2";0;500;60;NA;"";NA;"overig";"formule / berekening";"Beide";"klinische chemie";NA
3741;"KREC";"O";"PO";"eGFR volgens CKD-EPI POC-test";"CKDEPIPOC";"B";"";"L";"KC";"2";25;NA;NA;"De bepaling gebeurt in de huisartsenpraktijk door middel van een Point of care-testsysteem.";"NM";0;"ml/min/1,73m2";0;500;NA;NA;"";NA;"overig";"POC Point Of Care test";"Beide";"klinische chemie";NA
1919;"KREM";"O";"FB";"eGFR volgens MDRD formule";"eGFRMDRD";"B";"";"L";"KC";"4";7;18;NA;"Schatting van de GFR met de kreatinineklaring volgens de MDRD formule voor het blanke ras. Voor het negroïde ras moet het resultaat nog vermenigvuldigd worden met 1,212. Dit is niet opgenomen in de automatische berekening. Ook indien de berekening heeft plaatsgevonden in het laboratorium, moet de correctie zonodig nog worden toegepast voor het negroïde ras, indien dit in het laboratorium nog niet gedaan is.";"NM";0;"ml/min/1,73m2";0;500;60;NA;"";"vrouw: 0,742*(175 * ([523] * 0,0113)^(-1,154)) * ([leeftijd in jaren]^(-0,203)) man: 175 * ([523] * 0,0113)^(-1,154)) * ([leeftijd in jaren]^(-0,203))";"overig";"formule / berekening";"Beide";"klinische chemie";"MDRD-formule voor de kreatinineklaring vrouw: 0,742*(175 * ([kreatinine] * 0,0113)^(-1,154)) * ([leeftijd in jaren]^(-0,203)) man: 175 * ([kreatinine] * 0,0113)^(-1,154)) * ([leeftijd in jaren]^(-0,203)) correctie factor negroide ras: 1,212 (niet opgenomen)"
3740;"KREM";"O";"PO";"eGFR volgens MDRD POC-test";"MDRD POC";"B";"";"L";"KC";"2";25;NA;NA;"De bepaling gebeurt in de huisartsenpraktijk door middel van een Point of care-testsysteem.";"NM";0;"ml/min/1,73m2";0;500;NA;NA;"";NA;"overig";"POC Point Of Care test";"Beide";"klinische chemie";NA
3908;"EGCC";"O";"FB";"eGFR-creatinine-cystatin-c CKD-EPI form.";"eGFRCCCKD";"B";"";"L";"KC";"4";28;35;NA;"Schatting van de GFR met behulp van de cystatine- en creatinine klaring volgens CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) formule op basis van serum cystatine en creatinine, leeftijd, geslacht en ras.";"NM";0;"ml/min/1,73m2";0;500;60;NA;"";NA;"overig";"formule / berekening";"Beide";"klinische chemie";NA
3907;"EGFC";"O";"FB";"eGFR-cystatine-c vlgns CKD-EPI formule";"eGFRCyCKD";"B";"";"L";"KC";"4";28;35;NA;"Schatting van de GFR met behulp van de cystatineklaring volgens CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) formule op basis van serum cystatine, leeftijd, geslacht en ras.";"NM";0;"ml/min/1,73m2";0;500;60;NA;"";NA;"overig";"formule / berekening";"Beide";"klinische chemie";NA
